* description: per-cluster edge-effect aggregation-scale correction f35_edge_scale(j)
* unit: 1 (multiplier on p35_edge_fraction; tropical clusters only, 1.0 elsewhere)
* method: B/A = (closure per 0.5deg cell, summed to cluster) / (closure on cluster aggregate),
*   observed You-2025 forest 2020, total-land denominator, all cells. Corrects the sub-additive
*   aggregation under-count of the edge closure evaluated once per ~200-cluster.
* central(median tropical)=1.270 global_B/A=1.491 cross-dataset range HILDA~1.16 .. model-grid~1.29
* origin: audit/cell_cluster_missed_emissions/17_build_csv_verify_identity.R (TENTATIVE/EXPLORATORY)
* identity: scaled cluster edge area == cell-sum (verified vs presolve.gms:289-320)
CAZ_1,1.000000
CAZ_2,1.000000
CAZ_3,1.000000
CAZ_4,1.000000
CAZ_5,1.000000
CHA_10,1.000000
CHA_11,1.000000
CHA_12,1.000000
CHA_13,1.000000
CHA_14,1.000000
CHA_15,1.000000
CHA_16,1.000000
CHA_17,1.000000
CHA_18,1.000000
CHA_19,1.000000
CHA_20,1.000000
CHA_21,1.000000
CHA_22,1.000000
CHA_23,1.000000
CHA_24,1.000000
CHA_6,1.000000
CHA_7,1.000000
CHA_8,1.000000
CHA_9,1.000000
EUR_25,1.000000
EUR_26,1.000000
EUR_27,1.000000
EUR_28,1.000000
EUR_29,1.000000
EUR_30,1.000000
EUR_31,1.000000
EUR_32,1.000000
EUR_33,1.000000
EUR_34,1.000000
EUR_35,1.000000
EUR_36,1.000000
IND_37,1.000000
IND_38,1.000000
IND_39,1.000000
IND_40,1.000000
IND_41,1.000000
IND_42,1.000000
IND_43,1.000000
IND_44,1.000000
IND_45,1.000000
IND_46,1.000000
IND_47,1.000000
IND_48,1.000000
JPN_49,1.000000
JPN_50,1.000000
JPN_51,1.000000
JPN_52,1.000000
JPN_53,1.000000
JPN_54,1.000000
JPN_55,1.000000
LAM_56,1.186738
LAM_57,1.713340
LAM_58,1.114113
LAM_59,0.939083
LAM_60,1.046329
LAM_61,1.409778
LAM_62,1.106237
LAM_63,1.275877
LAM_64,1.530502
LAM_65,1.340941
LAM_66,1.804535
LAM_67,1.584182
LAM_68,2.025431
LAM_69,0.972634
LAM_70,1.025665
LAM_71,2.043070
LAM_72,1.528998
LAM_73,1.705766
LAM_74,1.375777
LAM_75,1.100882
LAM_76,1.531226
LAM_77,1.178706
LAM_78,1.375560
LAM_79,2.057176
LAM_80,1.376510
LAM_81,1.126702
LAM_82,1.818483
LAM_83,1.262855
LAM_84,1.136738
LAM_85,1.329029
LAM_86,1.303784
LAM_87,1.125624
LAM_88,1.420761
MEA_100,1.000000
MEA_101,1.000000
MEA_102,1.000000
MEA_103,1.000000
MEA_104,1.000000
MEA_105,1.000000
MEA_106,1.000000
MEA_107,1.000000
MEA_108,1.000000
MEA_109,1.000000
MEA_110,1.000000
MEA_111,1.000000
MEA_112,1.000000
MEA_113,1.000000
MEA_89,1.000000
MEA_90,1.000000
MEA_91,1.000000
MEA_92,1.000000
MEA_93,1.000000
MEA_94,1.000000
MEA_95,1.000000
MEA_96,1.000000
MEA_97,1.000000
MEA_98,1.000000
MEA_99,1.000000
NEU_114,1.000000
NEU_115,1.000000
NEU_116,1.000000
NEU_117,1.000000
NEU_118,1.000000
NEU_119,1.000000
NEU_120,1.000000
NEU_121,1.000000
OAS_122,1.894832
OAS_123,1.458430
OAS_124,1.053424
OAS_125,0.615928
OAS_126,1.612619
OAS_127,1.000000
OAS_128,1.226553
OAS_129,1.248127
OAS_130,0.943385
OAS_131,0.707991
OAS_132,2.498745
OAS_133,1.668657
OAS_134,1.031907
OAS_135,1.051484
OAS_136,1.083248
OAS_137,1.181020
REF_138,1.000000
REF_139,1.000000
REF_140,1.000000
REF_141,1.000000
REF_142,1.000000
REF_143,1.000000
REF_144,1.000000
REF_145,1.000000
REF_146,1.000000
REF_147,1.000000
REF_148,1.000000
REF_149,1.000000
SSA_150,1.389359
SSA_151,0.833807
SSA_152,1.000000
SSA_153,1.000000
SSA_154,1.727840
SSA_155,1.000000
SSA_156,1.375070
SSA_157,1.501334
SSA_158,1.130641
SSA_159,1.132775
SSA_160,1.826849
SSA_161,1.237428
SSA_162,1.365704
SSA_163,0.995373
SSA_164,1.235294
SSA_165,1.304110
SSA_166,1.000000
SSA_167,0.953343
SSA_168,1.067768
SSA_169,1.276527
SSA_170,1.435430
SSA_171,1.187661
SSA_172,1.220409
SSA_173,1.270052
SSA_174,1.089774
SSA_175,1.548125
SSA_176,1.000000
SSA_177,1.208098
SSA_178,1.256194
SSA_179,1.000000
SSA_180,1.199980
SSA_181,1.433587
SSA_182,1.357506
USA_183,1.000000
USA_184,1.000000
USA_185,1.000000
USA_186,1.000000
USA_187,1.000000
USA_188,1.000000
USA_189,1.000000
USA_190,1.000000
USA_191,1.000000
USA_192,1.000000
USA_193,1.000000
USA_194,1.000000
USA_195,1.000000
USA_196,1.000000
USA_197,1.000000
USA_198,1.000000
USA_199,1.000000
USA_200,1.000000
