* description: per-cluster FOREST-WEIGHTED tropical share for the edge gate f35_edge_trop_share(j) (s35_edge_gate = 1)
* unit: 1 (multiplier on p35_edge_fraction; 0 = no tropical forest in the cluster, 1 = all forest in Koeppen A classes)
* method: sum_cells forest * Ashare / sum_cells forest; forest = primforest + secdforest + forestry from
*   input/avl_land_full_t_0.5.mz (y2015, LUH3-based 0.5 deg input land); Ashare = Koeppen Af+Am+As+Aw per cell
*   (madrat calcClimateClass datasource=koeppen y2001, piam/1.27). Cwa/Cfa (subtropical humid) EXCLUDED.
* replaces the MAgPIE-region gate trop_edge = LAM,SSA,OAS (s35_edge_gate = 0); decided 2026-08-28
* origin: audit/edge_version_ladder/02_build_trop_share.R (fragmentation repo)
CAZ_1,0.001909
CAZ_2,0.000000
CAZ_3,0.000000
CAZ_4,0.228703
CAZ_5,0.000090
CHA_6,0.000000
CHA_7,0.000000
CHA_8,0.025383
CHA_9,0.000000
CHA_10,0.000000
CHA_11,0.000000
CHA_12,0.000000
CHA_13,0.000000
CHA_14,0.000000
CHA_15,0.000000
CHA_16,0.000000
CHA_17,0.003217
CHA_18,0.077805
CHA_19,0.000000
CHA_20,0.000000
CHA_21,0.000000
CHA_22,0.000000
CHA_23,0.223409
CHA_24,0.000000
EUR_25,0.000000
EUR_26,0.000000
EUR_27,0.000000
EUR_28,0.000000
EUR_29,0.000000
EUR_30,0.000000
EUR_31,0.000000
EUR_32,0.000000
EUR_33,0.000000
EUR_34,0.000000
EUR_35,0.000000
EUR_36,0.000000
IND_37,0.821457
IND_38,0.492245
IND_39,0.664334
IND_40,0.008459
IND_41,0.341823
IND_42,0.737129
IND_43,1.000000
IND_44,0.589211
IND_45,0.569080
IND_46,0.812076
IND_47,0.733006
IND_48,0.027084
JPN_49,0.000000
JPN_50,0.000000
JPN_51,0.000000
JPN_52,0.000000
JPN_53,0.000000
JPN_54,0.000000
JPN_55,0.000000
LAM_56,0.000000
LAM_57,0.791875
LAM_58,0.000410
LAM_59,0.064606
LAM_60,0.000000
LAM_61,0.670617
LAM_62,0.456017
LAM_63,0.971626
LAM_64,0.942848
LAM_65,0.715444
LAM_66,1.000000
LAM_67,0.944350
LAM_68,1.000000
LAM_69,0.000000
LAM_70,0.070338
LAM_71,0.998800
LAM_72,0.675561
LAM_73,0.533033
LAM_74,0.922999
LAM_75,0.205441
LAM_76,0.674859
LAM_77,0.273800
LAM_78,0.609058
LAM_79,1.000000
LAM_80,0.993791
LAM_81,0.075915
LAM_82,0.944302
LAM_83,0.000000
LAM_84,0.839791
LAM_85,0.000000
LAM_86,0.202517
LAM_87,1.000000
LAM_88,0.072727
MEA_89,0.000000
MEA_90,0.000000
MEA_91,0.000000
MEA_92,0.000000
MEA_93,0.000000
MEA_94,0.141549
MEA_95,0.000000
MEA_96,0.000000
MEA_97,0.000000
MEA_98,0.000000
MEA_99,0.000000
MEA_100,0.000000
MEA_101,0.000000
MEA_102,0.000000
MEA_103,0.000000
MEA_104,0.000000
MEA_105,0.000000
MEA_106,0.000000
MEA_107,0.000000
MEA_108,0.000000
MEA_109,0.000000
MEA_110,0.000000
MEA_111,0.000000
MEA_112,0.000000
MEA_113,0.000000
NEU_114,0.000000
NEU_115,0.000000
NEU_116,0.000000
NEU_117,0.000000
NEU_118,0.000000
NEU_119,0.000000
NEU_120,0.000000
NEU_121,0.000000
OAS_122,0.745646
OAS_123,0.833289
OAS_124,0.000000
OAS_125,1.000000
OAS_126,0.206143
OAS_127,0.000000
OAS_128,0.000000
OAS_129,0.702269
OAS_130,0.035091
OAS_131,0.000000
OAS_132,0.975843
OAS_133,1.000000
OAS_134,1.000000
OAS_135,0.000000
OAS_136,0.000000
OAS_137,0.698932
REF_138,0.000000
REF_139,0.000000
REF_140,0.000000
REF_141,0.000000
REF_142,0.000000
REF_143,0.000000
REF_144,0.000000
REF_145,0.000000
REF_146,0.000000
REF_147,0.000000
REF_148,0.000000
REF_149,0.000000
SSA_150,0.474419
SSA_151,0.399470
SSA_152,0.000000
SSA_153,0.000000
SSA_154,0.651468
SSA_155,0.000000
SSA_156,0.820081
SSA_157,0.993006
SSA_158,0.088684
SSA_159,0.833719
SSA_160,0.998396
SSA_161,0.930552
SSA_162,0.997151
SSA_163,0.700406
SSA_164,0.019931
SSA_165,0.756820
SSA_166,0.000000
SSA_167,0.970288
SSA_168,0.016017
SSA_169,0.594298
SSA_170,0.756361
SSA_171,0.026684
SSA_172,0.052966
SSA_173,0.700030
SSA_174,0.078360
SSA_175,1.000000
SSA_176,0.000000
SSA_177,0.879866
SSA_178,0.914818
SSA_179,0.000000
SSA_180,0.009623
SSA_181,0.921797
SSA_182,0.901636
USA_183,0.014742
USA_184,0.000000
USA_185,0.000000
USA_186,0.000000
USA_187,0.000000
USA_188,0.020211
USA_189,0.000000
USA_190,0.000000
USA_191,0.000000
USA_192,0.000000
USA_193,0.000000
USA_194,0.184589
USA_195,0.229258
USA_196,0.000000
USA_197,0.000000
USA_198,0.000000
USA_199,0.000000
USA_200,0.000000
